sid,run,template,seed,outcome,contact,impact_speed_ms,ttc_min_s,min_clearance_m,speed_at_crit_ms,ego_vmax_ms,t_crit_s,n_steps
22,0,lead_decel,20282806,completed,0,0.0,10.0,27.6189,2.1426,4.2156,0.05,801
22,1,lead_decel,20282807,completed,0,0.0,10.0,27.6189,2.1426,4.1879,0.05,801
22,2,lead_decel,20282808,completed,0,0.0,10.0,27.6189,2.1426,4.2182,0.05,801
22,3,lead_decel,20282809,completed,0,0.0,10.0,27.6189,2.1426,4.1978,0.05,801
22,4,lead_decel,20282810,completed,0,0.0,10.0,27.6189,2.1426,4.1967,0.05,801
23,0,lead_decel,20283806,completed,0,0.0,5.4044,11.4663,2.1426,4.1987,0.05,801
23,1,lead_decel,20283807,completed,0,0.0,5.4044,11.4663,2.1426,4.236,0.05,801
23,2,lead_decel,20283808,completed,0,0.0,5.4044,11.4663,2.1426,4.2006,0.05,801
23,3,lead_decel,20283809,completed,0,0.0,5.4044,11.4663,2.1426,4.2038,0.05,801
23,4,lead_decel,20283810,completed,0,0.0,5.4044,11.4663,2.1426,4.2148,0.05,801
24,0,lead_decel,20284806,completed,0,0.0,0.7225,1.4477,2.9348,4.1888,21.35,801
24,1,lead_decel,20284807,completed,0,0.0,0.665,1.3362,3.2499,4.2014,21.05,801
24,2,lead_decel,20284808,completed,0,0.0,0.8053,1.7519,3.1179,4.2104,21.45,801
24,3,lead_decel,20284809,completed,0,0.0,0.5874,1.073,2.9639,4.2003,21.25,801
24,4,lead_decel,20284810,completed,0,0.0,0.4707,0.762,2.809,4.1815,21.35,801
25,0,lead_decel,20285806,completed,0,0.0,0.7186,1.5062,3.3063,4.2333,3.15,801
25,1,lead_decel,20285807,completed,0,0.0,0.8474,2.0293,3.636,4.2671,2.95,801
25,2,lead_decel,20285808,completed,0,0.0,0.8689,1.8831,2.9367,4.1625,3.05,801
25,3,lead_decel,20285809,completed,0,0.0,0.815,1.8317,3.2936,4.1774,3.05,801
25,4,lead_decel,20285810,completed,0,0.0,0.7581,1.588,3.158,4.1831,3.05,801
26,0,lead_decel,20286806,completed,0,0.0,10.0,24.6288,2.1426,4.217,0.05,801
26,1,lead_decel,20286807,completed,0,0.0,10.0,24.6288,2.1426,4.1893,0.05,801
26,2,lead_decel,20286808,completed,0,0.0,10.0,24.6288,2.1426,4.1896,0.05,801
26,3,lead_decel,20286809,completed,0,0.0,10.0,24.6288,2.1426,4.2018,0.05,801
26,4,lead_decel,20286810,completed,0,0.0,10.0,24.6288,2.1426,4.2666,0.05,801
27,0,lead_decel,20287806,completed,0,0.0,10.0,21.4067,2.1426,4.199,0.05,801
27,1,lead_decel,20287807,completed,0,0.0,10.0,21.4067,2.1426,4.2014,0.05,801
27,2,lead_decel,20287808,completed,0,0.0,10.0,21.4067,2.1426,4.1983,0.05,801
27,3,lead_decel,20287809,completed,0,0.0,10.0,21.4067,2.1426,4.1826,0.05,801
27,4,lead_decel,20287810,completed,0,0.0,10.0,21.4067,2.1426,4.2026,0.05,801
28,0,lead_decel,20288806,completed,0,0.0,0.6592,1.3769,3.5943,4.1847,29.7,801
28,1,lead_decel,20288807,completed,0,0.0,0.5866,1.1193,3.2411,4.1949,29.35,801
28,2,lead_decel,20288808,completed,0,0.0,0.752,1.5273,3.0613,4.1833,30.55,801
28,3,lead_decel,20288809,completed,0,0.0,0.6753,1.325,2.9969,4.2488,29.75,801
28,4,lead_decel,20288810,completed,0,0.0,0.6634,1.3765,3.4054,4.1897,29.05,801
29,0,lead_decel,20289806,completed,0,0.0,0.5077,0.8387,2.836,4.1998,17.7,801
29,1,lead_decel,20289807,completed,0,0.0,0.4017,0.5697,2.5352,4.1895,17.9,801
29,2,lead_decel,20289808,completed,0,0.0,0.4927,0.8182,2.7678,4.1864,17.7,801
29,3,lead_decel,20289809,completed,0,0.0,0.7227,1.4642,3.1206,4.1847,17.65,801
29,4,lead_decel,20289810,completed,0,0.0,0.5549,0.9761,2.9904,4.1873,17.85,801
